0,77,78,77,0,86,80,0,88,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,:0.09000085714285713,0.025589857142857143
61,0,79,0,78,0,82,86,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,74,0,87,0,0,0,0,0,0,0,:0.2070132,0.07701949999999999
76,67,71,84,0,80,80,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,79,79,0,84,81,0,0,0,0,0,0,:0.2549749,0.0991788
56,75,71,70,0,79,79,86,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,71,78,79,82,86,83,0,0,0,0,84,:0.21606169999999997,-0.0245757
0,73,75,0,0,0,79,0,0,0,83,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,80,79,0,0,0,0,0,0,84,:0.1274685,-0.10958090000000001
63,68,76,76,0,79,77,86,83,86,84,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,75,76,80,75,81,87,0,0,0,0,86,:-0.0416697,-0.041784100000000005
75,75,75,75,0,82,84,89,87,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,:-0.21345359999999997,-0.0022778
63,76,73,79,0,82,81,83,0,0,0,86,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,75,0,78,0,86,0,0,0,0,0,86,:-0.3918069999999999,0.011352600000000001
61,74,74,71,74,80,80,0,86,89,84,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,69,79,84,83,0,85,0,0,0,0,0,:-0.33976549999999994,0.0015708
67,75,77,81,73,78,79,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,69,80,79,0,0,86,0,0,0,0,0,:-0.1353433,-0.0381137
61,79,75,72,77,80,80,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,71,78,79,79,79,86,0,0,0,0,0,:0.1527062,-0.06030879999999998
66,73,76,76,75,78,79,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,71,73,75,80,80,0,89,0,0,0,86,:0.38293088888888893,-0.05396122222222222
69,70,78,0,79,86,82,89,0,0,87,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,81,83,79,82,0,0,0,0,0,0,0,:0.6008356,-0.0318092
71,69,78,82,0,86,85,88,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,73,82,75,80,89,0,0,0,0,0,91,:0.7869621999999998,-0.006735400000000001
69,80,81,72,0,92,82,87,0,90,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,71,80,83,78,88,0,0,0,0,0,0,:0.6626842999999999,-0.0027795
67,69,77,76,0,90,84,87,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,84,0,85,89,0,0,0,0,0,0,:0.3749992999999999,0.014671900000000002
65,71,74,75,0,81,80,87,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,79,71,81,85,83,0,0,0,0,0,0,:0.1178328,0.023722399999999998
61,69,72,71,73,82,0,0,0,86,82,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,74,82,81,0,84,81,0,0,0,0,0,:0.19179149999999998,-0.0022275000000000003
67,67,72,73,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,69,81,77,85,0,81,0,0,0,0,82,:0.6133906,-0.09809219999999999
62,71,75,72,0,86,83,86,0,84,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,72,72,76,78,81,81,0,0,0,0,85,:1.1342319,-0.15172290000000002
